Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
L062,Male,No,2,Not Graduate,Yes,425556,18454,1699368,4,66,Semiurban,N
L063,Female,Yes,1,Not Graduate,Yes,189141,448574,4110800,2,63,Semiurban,N
L064,Male,No,0,Not Graduate,No,37125,11133,2796695,2,818,Rural,Y
L065,Female,Yes,3+,Not Graduate,No,189882,89458,203836,4,293,Urban,Y
L066,Male,No,1,Graduate,Yes,356475,264948,431742,4,795,Semiurban,Y
L067,Female,No,3+,Not Graduate,Yes,229895,305354,4391078,3,611,Rural,N
L068,Female,No,3+,Graduate,Yes,172631,353364,3316358,3,363,Semiurban,N
L069,Female,No,2,Not Graduate,No,76848,28525,1694021,4,808,Urban,Y
L070,Female,Yes,1,Graduate,No,155441,85892,4848936,1,688,Urban,Y
L071,Female,No,1,Graduate,Yes,20123,376968,1350718,2,356,Rural,N
L072,Male,No,3+,Graduate,Yes,178714,15108,3730075,2,377,Rural,N
L073,Male,Yes,2,Graduate,Yes,400780,119106,2979941,1,119,Urban,N
L074,Male,No,2,Not Graduate,No,265145,262210,4000453,3,292,Urban,N
L075,Male,No,1,Not Graduate,No,141926,370526,1860049,3,641,Rural,N
L076,Male,Yes,2,Not Graduate,No,446308,419412,316937,4,461,Urban,Y
L077,Female,No,3+,Graduate,Yes,273990,265696,1953519,1,317,Rural,N
L078,Male,No,0,Graduate,No,440443,498025,1026418,2,697,Urban,Y
L079,Male,No,0,Not Graduate,Yes,230166,125267,580702,4,895,Urban,Y
L080,Female,Yes,2,Not Graduate,No,296418,128729,4867193,2,223,Semiurban,N
L081,Female,Yes,1,Graduate,No,227285,442375,4043453,3,322,Urban,N
L082,Male,Yes,3+,Graduate,No,497215,422972,3544172,2,360,Semiurban,N
L083,Female,Yes,3+,Graduate,No,460178,45810,2469945,2,241,Semiurban,N
L084,Female,No,3+,Graduate,Yes,313964,459571,3692460,1,450,Semiurban,N
L085,Female,Yes,1,Graduate,No,487731,285427,1157101,1,948,Semiurban,Y
L086,Male,Yes,0,Graduate,No,310674,470484,3598872,3,537,Rural,N
L087,Male,No,1,Not Graduate,No,447563,143147,3596981,1,171,Urban,N
L088,Male,Yes,2,Not Graduate,No,94427,478171,591079,1,676,Urban,Y
L089,Female,No,3+,Graduate,Yes,87384,129983,1079168,3,643,Rural,N
L090,Female,No,1,Not Graduate,No,416965,471988,2446027,2,922,Urban,Y
L091,Male,Yes,1,Not Graduate,Yes,384027,414126,1017920,3,22,Rural,Y
L092,Female,Yes,3+,Not Graduate,Yes,429892,127884,43878,3,153,Semiurban,Y
L093,Male,No,0,Not Graduate,No,142823,287966,4060293,2,150,Urban,N
L094,Female,No,0,Not Graduate,Yes,154033,314849,1159855,1,218,Urban,N
L095,Female,Yes,1,Not Graduate,Yes,271628,172312,1381634,2,721,Semiurban,Y
L096,Female,No,0,Graduate,Yes,354022,252587,4311721,4,62,Urban,N
L097,Female,No,2,Not Graduate,Yes,442980,291099,3692656,4,167,Urban,N
L098,Male,Yes,2,Graduate,No,217112,243218,4572653,4,273,Rural,N
L099,Female,No,3+,Not Graduate,Yes,333475,253872,964332,3,360,Rural,Y
L100,Female,No,0,Graduate,Yes,86766,438615,1116037,4,790,Semiurban,Y
L101,Female,No,2,Not Graduate,Yes,97551,281110,421204,2,544,Urban,Y
L102,Male,Yes,0,Not Graduate,No,314470,479266,186307,2,562,Semiurban,Y
L103,Male,Yes,3+,Not Graduate,Yes,457916,333937,1265335,2,765,Rural,Y
L104,Male,No,0,Graduate,No,454292,182575,3330622,4,34,Rural,N
L105,Female,Yes,3+,Graduate,No,233619,10347,1045098,3,519,Urban,N
L106,Female,Yes,1,Not Graduate,Yes,70484,27595,448839,3,421,Rural,N
L107,Male,No,1,Not Graduate,Yes,35456,383194,783398,4,101,Urban,Y
L108,Male,No,2,Not Graduate,Yes,259394,336222,4348037,4,656,Semiurban,Y
L109,Female,Yes,1,Not Graduate,Yes,164227,28442,2567765,4,272,Semiurban,N
L110,Female,Yes,0,Graduate,No,440532,190835,2859507,2,6,Urban,N
L111,Male,Yes,0,Graduate,Yes,228111,65164,1650969,4,759,Rural,Y
L112,Male,No,1,Graduate,No,182164,162658,3829092,3,590,Semiurban,N
L113,Male,No,0,Not Graduate,No,399723,264000,895774,2,410,Semiurban,Y
L114,Female,Yes,1,Graduate,Yes,459829,86959,39117,4,57,Semiurban,Y
L115,Female,Yes,2,Graduate,Yes,227526,317045,2142314,1,473,Rural,N
L116,Female,Yes,1,Not Graduate,No,192942,135326,4490780,1,536,Semiurban,N
L117,Male,Yes,0,Graduate,Yes,316461,371424,3913421,3,13,Semiurban,N
L118,Male,No,2,Not Graduate,Yes,154119,372821,2882819,3,797,Semiurban,Y
L119,Male,No,0,Not Graduate,Yes,69852,353631,2668802,2,149,Urban,N
L120,Male,Yes,1,Graduate,Yes,263111,18165,56147,1,616,Semiurban,Y
L121,Female,Yes,1,Not Graduate,Yes,268079,111801,4716882,3,208,Urban,N
L122,Male,Yes,2,Not Graduate,No,69499,50240,2598477,2,704,Rural,Y
L123,Male,No,3+,Not Graduate,Yes,101953,141597,3712417,2,566,Urban,N
L124,Male,No,1,Graduate,No,15876,365050,2689344,3,503,Urban,N
L125,Male,Yes,3+,Graduate,No,496172,413810,4006515,3,624,Semiurban,N
L126,Female,Yes,2,Graduate,Yes,443825,401048,1410533,4,211,Semiurban,Y
L127,Male,No,2,Graduate,No,462839,273584,3183222,2,741,Urban,Y
L128,Female,Yes,1,Graduate,No,136806,11912,2670706,1,686,Urban,Y
L129,Male,No,0,Not Graduate,Yes,461601,93314,2289789,2,471,Semiurban,N
L130,Male,No,0,Graduate,No,155202,447359,2676933,2,234,Rural,N
L131,Female,Yes,0,Graduate,No,141768,5949,3852126,4,94,Rural,N
L132,Female,No,3+,Graduate,Yes,492155,304923,146547,4,824,Urban,Y
L133,Female,No,3+,Not Graduate,No,499852,174563,4943437,1,386,Semiurban,N
L134,Female,No,0,Not Graduate,Yes,80291,363759,2246090,1,361,Urban,N
L135,Male,Yes,0,Graduate,Yes,87922,405430,4717923,1,388,Rural,N
L136,Female,Yes,2,Not Graduate,Yes,351378,398033,378925,2,484,Rural,Y
L137,Male,No,0,Graduate,Yes,335235,81151,291031,4,854,Rural,Y
L138,Female,No,2,Not Graduate,Yes,394697,137670,3641508,1,499,Urban,N
L139,Female,Yes,3+,Not Graduate,No,124741,385009,2218623,2,457,Urban,N
L140,Female,No,1,Graduate,Yes,72929,215242,115167,4,650,Rural,Y
L141,Male,No,0,Graduate,Yes,330470,114468,411628,2,453,Semiurban,Y
L142,Female,No,0,Graduate,Yes,493529,207929,2859590,2,72,Semiurban,N
L143,Male,No,2,Graduate,No,260035,315693,1171678,1,607,Rural,N
L144,Female,Yes,2,Not Graduate,No,213011,67211,4194857,3,569,Urban,N
L145,Female,No,3+,Not Graduate,Yes,498165,348071,4770411,3,214,Rural,N
L146,Male,Yes,0,Graduate,Yes,284055,396405,2405361,3,897,Urban,Y
L147,Female,Yes,0,Graduate,Yes,485839,140746,2589594,3,78,Semiurban,N
L148,Female,Yes,1,Graduate,No,37612,238677,292693,2,372,Rural,Y
L149,Female,No,3+,Not Graduate,Yes,496765,39310,4856509,1,647,Semiurban,N
L150,Female,Yes,2,Graduate,No,28341,414547,4835713,2,262,Urban,N
L151,Male,No,3+,Graduate,Yes,118483,15555,2770158,2,713,Semiurban,Y
L152,Male,Yes,0,Not Graduate,Yes,241517,403029,4119816,3,469,Urban,N
L153,Female,No,3+,Not Graduate,Yes,183810,481253,325287,4,212,Semiurban,Y
L154,Female,Yes,3+,Not Graduate,No,177407,374849,488247,3,459,Rural,Y
L155,Female,No,3+,Not Graduate,Yes,321677,141146,1580463,3,768,Urban,Y
L156,Male,Yes,1,Graduate,No,89265,128775,2192109,2,566,Urban,N
L157,Female,Yes,0,Graduate,Yes,372726,96188,3270007,4,858,Semiurban,Y
L158,Female,No,1,Graduate,No,30895,264331,1516533,3,875,Semiurban,Y
L159,Female,No,2,Graduate,No,387151,199571,1289788,3,419,Semiurban,Y
L160,Male,Yes,3+,Not Graduate,No,478293,102890,4650565,3,942,Semiurban,Y
L161,Male,Yes,3+,Graduate,Yes,307396,498780,209790,4,480,Rural,Y
L162,Male,No,1,Not Graduate,Yes,399919,69006,2368813,1,127,Rural,N
L163,Female,Yes,2,Not Graduate,Yes,369256,250526,4209710,4,179,Semiurban,N
L164,Male,Yes,3+,Not Graduate,Yes,282373,49233,2023560,2,242,Semiurban,N
L165,Male,Yes,0,Graduate,No,17558,363283,21912,1,879,Rural,Y
L166,Male,No,2,Graduate,Yes,78331,461060,4177354,1,311,Urban,N
L167,Female,Yes,1,Graduate,Yes,292761,129095,3292330,1,408,Rural,N
L168,Male,Yes,3+,Not Graduate,No,248869,75877,960344,1,706,Rural,Y
L169,Male,No,2,Graduate,No,228506,210543,40180,3,577,Semiurban,Y
L170,Male,Yes,0,Not Graduate,No,417695,45360,1792730,1,580,Semiurban,N
L171,Female,No,3+,Graduate,No,14063,34340,950319,3,928,Rural,Y
L172,Female,Yes,3+,Graduate,Yes,397152,245713,2539061,1,797,Rural,Y
L173,Male,Yes,1,Not Graduate,No,206230,391093,4461056,4,788,Urban,Y
L174,Male,No,0,Graduate,No,485018,93437,4830536,1,339,Urban,N
L175,Female,No,2,Not Graduate,Yes,393623,31956,678100,3,672,Rural,Y
L176,Female,No,1,Graduate,No,71087,57537,3313841,4,344,Rural,N
L177,Female,No,1,Graduate,Yes,32016,303569,4189532,3,288,Rural,N
L178,Male,Yes,1,Not Graduate,Yes,136459,256556,1213024,3,499,Semiurban,N
L179,Female,No,1,Not Graduate,Yes,229962,304217,2452462,3,356,Semiurban,N
L180,Male,Yes,1,Not Graduate,No,324650,156052,652868,3,950,Semiurban,Y
L181,Male,Yes,0,Not Graduate,No,79507,400798,3853334,3,398,Semiurban,N
L182,Female,Yes,3+,Graduate,Yes,11026,332126,3448006,4,616,Urban,N
L183,Male,No,3+,Graduate,Yes,151487,120710,2889745,2,79,Semiurban,N
L184,Female,No,0,Not Graduate,No,320182,374239,439441,4,533,Rural,Y
L185,Male,No,0,Graduate,No,78671,282056,3714849,2,309,Urban,N
L186,Female,Yes,3+,Not Graduate,No,296297,217205,133151,2,928,Semiurban,Y
L187,Female,Yes,2,Not Graduate,Yes,456865,18362,1314706,2,95,Urban,N
L188,Male,No,2,Not Graduate,Yes,85272,380109,2608304,1,889,Rural,Y
L189,Male,No,0,Not Graduate,No,354869,145951,466552,1,886,Urban,Y
L190,Male,No,1,Graduate,No,18742,255308,4195921,4,635,Semiurban,N
L191,Male,No,1,Not Graduate,No,196911,297314,4485952,1,734,Urban,Y
L192,Male,Yes,3+,Graduate,No,421486,86426,3535929,2,40,Semiurban,N
L193,Male,Yes,0,Graduate,Yes,273821,17648,3050411,3,337,Rural,N
L194,Female,Yes,2,Not Graduate,No,214671,349767,4146376,3,363,Semiurban,N
L195,Female,No,2,Graduate,Yes,423242,258001,4856176,4,644,Rural,N
L196,Female,No,2,Graduate,No,78444,453181,4158729,3,461,Urban,N
L197,Female,No,0,Graduate,Yes,264756,286443,4820334,2,353,Urban,N
L198,Female,Yes,0,Not Graduate,No,262800,284923,1849286,3,565,Urban,N
L199,Male,No,1,Not Graduate,No,197079,275070,933868,1,768,Urban,Y
L200,Male,No,0,Graduate,Yes,432710,235163,1625204,4,277,Semiurban,Y
L201,Male,No,0,Graduate,No,134236,263955,3865546,3,808,Urban,Y
L202,Male,No,0,Not Graduate,Yes,32376,407499,3923298,2,561,Semiurban,N
L203,Male,No,1,Not Graduate,No,210298,102660,2190927,1,565,Rural,N
L204,Male,Yes,1,Not Graduate,No,344922,71425,2201006,4,437,Rural,N
L205,Male,Yes,1,Graduate,Yes,361202,241303,4806882,1,694,Urban,Y
L206,Male,No,1,Graduate,No,459135,354420,1591956,3,701,Semiurban,Y
L207,Female,Yes,0,Graduate,Yes,56878,325368,3711734,4,127,Urban,N
L208,Male,Yes,0,Not Graduate,No,475375,126479,981932,1,579,Semiurban,N
L209,Female,Yes,1,Not Graduate,No,305013,309169,2737392,3,169,Rural,N
L210,Male,No,1,Graduate,Yes,423498,188064,3549730,4,243,Rural,N
L211,Female,Yes,1,Not Graduate,Yes,237544,67505,2730455,3,452,Rural,N
L212,Male,No,3+,Not Graduate,Yes,286959,12600,3427146,4,33,Rural,N
L213,Female,Yes,1,Not Graduate,No,250667,50391,3931995,3,627,Semiurban,N
L214,Male,No,0,Not Graduate,No,448572,319629,124925,1,333,Rural,Y
L215,Female,Yes,2,Graduate,No,108742,498804,1858972,1,898,Semiurban,Y
L216,Female,Yes,0,Not Graduate,No,136031,218384,2683080,2,51,Rural,N
L217,Male,Yes,2,Not Graduate,Yes,21342,52746,820980,2,204,Semiurban,N
L218,Female,Yes,0,Graduate,No,495796,409726,3153358,2,398,Semiurban,N
L219,Female,No,1,Graduate,No,61092,163544,2741138,3,663,Semiurban,Y
L220,Female,No,3+,Graduate,No,108853,191922,2055373,3,80,Urban,N
L221,Female,No,0,Not Graduate,Yes,128724,494536,3009548,2,622,Semiurban,N
L222,Male,Yes,0,Not Graduate,Yes,318208,4811,2864459,3,32,Urban,N
L223,Female,Yes,0,Not Graduate,Yes,136712,6115,1771737,2,812,Semiurban,Y
L224,Female,Yes,0,Graduate,No,391195,320104,3680981,2,236,Rural,N
L225,Male,Yes,1,Not Graduate,No,477047,379583,96955,1,403,Urban,Y
L226,Male,No,1,Graduate,Yes,193467,320091,923474,2,158,Urban,Y
L227,Male,No,1,Not Graduate,No,481472,305132,2417921,2,871,Semiurban,Y
L228,Female,No,0,Graduate,No,438962,385463,4998817,2,838,Semiurban,Y
L229,Female,Yes,2,Not Graduate,No,271273,107265,2650776,4,744,Semiurban,Y
L230,Female,Yes,0,Graduate,Yes,386750,359160,3893046,2,144,Semiurban,N
L231,Male,No,3+,Not Graduate,No,403029,57298,2728187,1,918,Rural,Y
L232,Female,No,2,Not Graduate,No,91166,348915,1429853,1,83,Semiurban,N
L233,Female,No,2,Not Graduate,Yes,384184,392348,1053053,3,358,Urban,Y
L234,Female,No,1,Graduate,No,180818,171589,4308814,4,658,Urban,Y
L235,Female,No,2,Graduate,Yes,332867,300274,2915541,4,170,Semiurban,N
L236,Female,Yes,3+,Graduate,Yes,27081,254466,3065701,2,11,Rural,N
L237,Male,No,1,Graduate,Yes,307895,418535,2399807,1,145,Semiurban,N
L238,Male,Yes,0,Graduate,No,146480,94191,2829851,4,792,Urban,Y
L239,Female,Yes,1,Graduate,Yes,370277,122370,3651809,3,696,Semiurban,Y
L240,Male,No,3+,Not Graduate,No,261475,441370,3623795,4,269,Rural,N
L241,Male,Yes,3+,Graduate,Yes,354843,83432,1794226,3,207,Rural,N
L242,Female,No,1,Not Graduate,Yes,91653,429157,588037,3,301,Rural,Y
L243,Male,Yes,3+,Not Graduate,Yes,363933,22294,3802280,2,877,Urban,Y
L244,Female,No,2,Graduate,No,134403,180413,2912185,1,397,Rural,N
L245,Male,Yes,2,Graduate,Yes,337563,56692,790765,3,717,Semiurban,Y
L246,Female,Yes,1,Graduate,No,436631,49907,2785647,3,140,Rural,N
L247,Female,No,0,Graduate,Yes,340854,151683,3586811,4,760,Rural,Y
L248,Male,No,0,Graduate,No,427209,39951,1377089,2,32,Rural,N
L249,Female,Yes,3+,Not Graduate,No,52749,397406,4134326,4,845,Rural,Y
L250,Male,Yes,0,Graduate,Yes,36862,273316,2673691,1,353,Rural,N
L251,Female,Yes,1,Graduate,No,244406,293286,1834272,1,828,Rural,Y
L252,Female,Yes,1,Not Graduate,No,226009,211859,4583428,4,629,Urban,N
L253,Male,Yes,2,Graduate,Yes,119590,64899,3162418,4,849,Semiurban,Y
L254,Female,No,1,Graduate,No,187795,45814,4306022,3,258,Urban,N
L255,Female,No,3+,Not Graduate,Yes,308182,177338,3160326,2,624,Rural,N
L256,Male,No,0,Not Graduate,No,190699,196125,2499733,1,478,Semiurban,N
L257,Female,No,3+,Graduate,No,95014,354627,2902334,4,4,Semiurban,N
L258,Female,Yes,1,Not Graduate,Yes,253291,381715,1154431,3,377,Rural,Y
L259,Male,Yes,0,Not Graduate,Yes,89621,169952,3856313,3,358,Urban,N
L260,Male,No,0,Graduate,No,139572,409770,2025222,3,704,Urban,Y
L261,Female,Yes,3+,Graduate,Yes,147898,436116,4207430,1,443,Semiurban,N
L262,Male,No,1,Not Graduate,No,238813,257211,1924320,4,122,Urban,N
L263,Female,No,1,Not Graduate,No,88044,76232,247556,4,688,Urban,Y
L264,Female,No,0,Not Graduate,Yes,377973,107543,1843973,1,751,Rural,Y
L265,Female,Yes,3+,Graduate,No,302564,424736,4324187,2,943,Rural,Y
L266,Male,Yes,0,Not Graduate,Yes,153255,420368,4649283,4,630,Rural,N
L267,Male,Yes,3+,Graduate,Yes,133035,433167,2551519,2,912,Rural,Y
L268,Male,No,0,Graduate,No,54473,216732,4279338,2,799,Semiurban,Y
L269,Male,No,3+,Graduate,No,129346,410943,3092103,3,443,Urban,N
L270,Female,Yes,1,Not Graduate,No,48793,258494,3206205,3,938,Rural,Y
L271,Female,No,1,Not Graduate,Yes,344407,284010,107663,4,242,Urban,Y
L272,Male,No,2,Not Graduate,Yes,406889,460615,390356,1,857,Rural,Y
L273,Male,Yes,1,Graduate,No,226725,160337,4206137,4,366,Semiurban,N
L274,Female,Yes,0,Not Graduate,Yes,437227,453945,791495,4,350,Rural,Y
L275,Female,No,3+,Not Graduate,Yes,126008,203845,465090,1,489,Rural,N
L276,Female,Yes,2,Not Graduate,Yes,460408,403471,3202543,2,844,Urban,Y
L277,Male,Yes,0,Not Graduate,Yes,377784,249415,928158,1,898,Urban,Y
L278,Female,No,0,Graduate,Yes,104423,486819,3476374,4,873,Rural,Y
L279,Female,No,3+,Not Graduate,Yes,97704,394444,3415286,1,285,Urban,N
L280,Female,Yes,3+,Graduate,Yes,448036,342396,225203,1,491,Semiurban,Y
L281,Male,Yes,0,Not Graduate,Yes,57216,363024,4650603,3,668,Urban,Y
L282,Male,No,1,Not Graduate,No,423346,289561,2078970,2,728,Urban,Y
L283,Male,Yes,3+,Graduate,No,362112,118056,2878739,1,744,Rural,Y
L284,Female,No,1,Not Graduate,Yes,357515,25901,316064,4,209,Urban,Y
L285,Male,No,2,Graduate,Yes,80221,471004,2854698,4,579,Urban,N
L286,Male,No,0,Not Graduate,Yes,243771,284740,2963013,3,585,Rural,N
L287,Female,Yes,3+,Not Graduate,No,59301,379249,485050,4,715,Rural,Y
L288,Male,Yes,1,Not Graduate,No,420372,129783,480316,1,788,Rural,Y
L289,Female,No,0,Graduate,Yes,201206,478600,2752151,1,95,Rural,N
L290,Female,No,2,Graduate,No,304970,254738,4535862,3,905,Semiurban,Y
L291,Female,Yes,3+,Not Graduate,No,107449,353205,2092832,1,248,Rural,N
L292,Male,Yes,3+,Not Graduate,No,365843,203549,4225675,3,760,Semiurban,Y
L293,Female,Yes,3+,Not Graduate,No,318256,202458,181923,1,20,Semiurban,Y
L294,Female,No,1,Graduate,Yes,316506,137601,1932901,3,607,Urban,N
L295,Female,No,2,Graduate,No,303334,13795,1855197,3,843,Rural,Y
L296,Male,Yes,0,Not Graduate,No,16262,281255,3704893,3,369,Urban,N
L297,Male,Yes,3+,Graduate,No,98953,497896,1732956,1,357,Urban,N
L298,Female,Yes,3+,Graduate,No,25587,487607,1375175,2,46,Rural,N
L299,Female,No,3+,Not Graduate,No,13696,313669,85914,1,346,Rural,Y
L300,Female,No,1,Graduate,No,190837,292847,1895793,1,635,Rural,N
L301,Male,No,0,Graduate,Yes,451550,301338,2139868,2,393,Urban,N
L302,Male,Yes,1,Not Graduate,No,246428,367762,3369016,3,753,Semiurban,Y
L303,Female,Yes,2,Graduate,Yes,343865,374657,516135,2,868,Urban,Y
L304,Female,No,1,Not Graduate,Yes,484486,18470,3266270,4,78,Urban,N
L305,Male,Yes,0,Graduate,No,287205,137754,4895420,1,871,Semiurban,Y
L306,Male,Yes,1,Not Graduate,No,90812,88234,1015888,4,144,Urban,N
L307,Male,No,1,Not Graduate,Yes,225770,46040,763949,2,514,Semiurban,N
L308,Female,Yes,2,Graduate,Yes,161771,452672,2164314,2,359,Rural,N
L309,Female,No,2,Not Graduate,No,70542,455010,1326556,1,418,Rural,N
L310,Female,No,2,Graduate,No,484090,482479,2329665,2,68,Urban,N
L311,Female,No,1,Graduate,No,472025,496001,1609648,2,288,Urban,Y
L312,Male,Yes,2,Graduate,No,184707,479686,1457564,2,133,Rural,N
L313,Female,No,2,Graduate,Yes,457291,166451,2468632,3,107,Urban,N
L314,Female,No,3+,Graduate,Yes,478443,22846,2395465,4,502,Urban,N
L315,Female,No,2,Not Graduate,No,49602,165387,4957773,3,230,Rural,N
L316,Male,Yes,2,Graduate,No,494304,477101,3687682,3,840,Rural,Y
L317,Female,Yes,2,Graduate,No,142000,262783,4375986,1,564,Urban,N
L318,Male,No,3+,Graduate,Yes,196705,371123,3490972,3,213,Semiurban,N
L319,Male,No,3+,Not Graduate,No,426742,178840,4353542,4,823,Semiurban,Y
L320,Male,No,0,Not Graduate,No,499647,464797,1526625,4,581,Rural,Y
L321,Male,No,3+,Not Graduate,No,184391,244786,4826025,3,114,Rural,N
L322,Male,No,0,Not Graduate,No,438215,163171,4478329,4,55,Semiurban,N
L323,Female,No,1,Graduate,No,113621,158080,3731589,4,744,Rural,Y
L324,Female,Yes,3+,Not Graduate,Yes,458984,138574,1524956,3,449,Urban,Y
L325,Male,No,3+,Graduate,No,48087,72739,2545584,1,2,Urban,N
L326,Male,Yes,2,Graduate,No,67636,306921,3656462,1,28,Semiurban,N
L327,Male,Yes,3+,Not Graduate,Yes,124183,121156,4944391,4,477,Urban,N
L328,Male,No,1,Not Graduate,No,478051,396666,1913732,1,250,Urban,N
L329,Male,Yes,0,Graduate,No,486503,170759,4062029,3,466,Rural,N
L330,Female,No,3+,Not Graduate,No,318624,485041,1680499,3,515,Semiurban,Y
L331,Male,Yes,1,Graduate,Yes,251743,285010,4119025,3,886,Rural,Y
L332,Male,Yes,2,Not Graduate,Yes,378762,375751,3351764,1,280,Semiurban,N
L333,Male,No,1,Graduate,Yes,434211,400194,2169198,3,663,Urban,Y
L334,Male,No,1,Graduate,Yes,133850,340606,2672505,4,231,Semiurban,N
L335,Male,Yes,2,Not Graduate,Yes,142683,205831,2833786,1,193,Urban,N
L336,Male,Yes,2,Not Graduate,No,128034,200608,1947569,2,461,Rural,N
